"0","1","2","3","4","5","6","7","8"
"Universitas 17 Agustus 1945 Surabaya","Ilmu Administrasi Niaga","S1","07","1063/SK/BAN-PT/Ak-PPJ/S/II/2021","2021","A","2025-12-13","Masih berlaku"
"Universitas 17 Agustus 1945 Surabaya","Teknik Sipil","S2","07","1064/SK/BAN-PT/Ak-PPJ/M/II/2021","2021","B","2025-12-30","Masih berlaku"
"Politeknik Negeri Bandung","Teknik Listrik","D-III","","4503/SK/BAN-PT/Akred/Dipl-III/XI/2019","2019","A","2024-11-12","Masih berlaku"
"Universitas Nahdlatul Ulama Purwokerto","Agroteknologi","S1","06","4017/SK/BAN-PT/Akred/S/X/2019","2019","C","2024-10-22","Masih berlaku"
"Institut Pertanian Bogor","Paramedik Veteriner","D-III","","4632/SK/BAN-PT/Akred/Dipl-III/XII/2019","2019","A","2024-12-03","Masih berlaku"
"Universitas Lampung","Pendidikan Ekonomi","S1","","3426/SK/BAN-PT/Akred/S/IX/2019","2019","B","2024-09-10","Masih berlaku"
"Universitas Hasanuddin","Fisika","S2","","2629/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-24","Masih berlaku"
"Institut Agama Islam Negeri Fattahul Muluk Papua","Tadris Bahasa Inggris","S1","","2635/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-24","Masih berlaku"
"Institut Agama Islam Negeri Pekalongan","Tadris Bahasa Inggris","S1","","2632/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-24","Masih berlaku"
"Universitas Muhammadiyah Kupang","Pendidikan Guru Sekolah Dasar","S1","15","2634/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-24","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Jambi","Manajemen","S1","10","2628/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-24","Masih berlaku"
"Universitas Bina Nusantara","Destinasi Pariwisata","S1","03","2631/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-24","Masih berlaku"
"Universitas Katolik Indonesia Atma Jaya","Ekonomi Pembangunan","S1","03","2627/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-24","Masih berlaku"
"Universitas Brawijaya","Ilmu Sosiologi","S3","","2626/SK/BAN-PT/Akred/D/VII/2019","2019","A","2024-07-24","Masih berlaku"
"Universitas Pesantren Tinggi Darul  Ulum","Manajemen Pendidikan Islam","S2","07","2633/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-24","Masih berlaku"
"STAI Al-Azhar Menganti Gresik","Ekonomi Syari'ah","S1","","2630/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-24","Masih berlaku"
"Universitas Banten Jaya","Teknik Informatika","D-III","04","2637/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","C","2024-07-24","Masih berlaku"
"Institut Pertanian Bogor","Akuntansi","D-III","","2639/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","B","2024-07-24","Masih berlaku"
"Institut Agama Islam Negeri Kediri","Ekonomi Syariah","S1","","2640/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-24","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Mamuju","Manajemen","S1","09","2642/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-24","Masih berlaku"
"Institut Agama Islam Ibrahimy (IAII) Sukorejo Situbondo","Hukum Ekonomi Syari`ah (Mu`amalah)","S1","","2643/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-24","Masih berlaku"
"Akademi Teknik Dan Keselamatan Penerbangan Medan","Teknik Telekomunikasi Dan Navigasi Udara","D-III","","4808/SK/BAN-PT/Akred/Dipl-III/XII/2019","2019","B","2024-12-17","Masih berlaku"
"Universitas Gadjah Mada","Profesi Akuntan","Profesi","","2625/SK/BAN-PT/Akred/PP/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Trunojoyo","Teknik Mesin","S1","","2577/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Hasanuddin","Biologi","S2","","2563/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Negeri Makassar","Matematika","S2","","2614/SK/BAN-PT/Akred/M/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Politeknik Negeri Lhokseumawe","Teknologi Rekayasa Pembangkit Energi","D-IV","","2584/SK/BAN-PT/Akred/ST/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Kristen Indonesia Maluku","Ilmu Kesejahteraan Sosial","S1","12","2540/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Muhammadiyah Banjarmasin","Pendidikan Matematika","S1","11","2580/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Politeknik Caltex","Teknik Mesin","D-IV","10","2568/SK/BAN-PT/Akred/ST/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Bengkulu","Statistika","S1","","2557/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Politeknik Manufaktur Bandung","Teknologi Rekayasa Otomasi","D-IV","","2564/SK/BAN-PT/Akred/ST/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Khairun","Pendidikan Biologi","S2","","2613/SK/BAN-PT/Akred/M/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Institut Teknologi Kalimantan","Teknik Lingkungan","S1","","2597/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Muhammadiyah Luwuk Banggai","Pendidikan Biologi","S1","16","2589/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Tidar","Pendidikan Bahasa Indonesia","S2","","2565/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Bung Hatta","Pendidikan Jasmani, Kesehatan, Dan Rekreasi","S1","10","2581/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Tribhuwana Tungga Dewi","Pendidikan Biologi","S1","07","2586/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Institut Ilmu KeIslaman Annuqayah (INSTIKA) Guluk-Guluk Sumenep","Perbankan Syariah","S1","","2616/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Bumi Hijrah Tidore","Pendidikan Kimia","S1","12","2582/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Hein Namotemo","Bimbingan Dan Konseling","S1","12","2598/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Tidar","Pendidikan IPA","S1","","2571/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Nahdlatul Ulama Al Ghazali Cilacap","Teknik Industri","S1","06","2579/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Sekolah Tinggi Ilmu Administrasi Mataram","Ilmu Administrasi Negara","S1","08","2572/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"IKIP PGRI Jember","Pendidikan Pancasila Dan Kewarganegaraan","S1","07","2554/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Swadaya Gunung Djati","Manajemen","S1","04","2610/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Jember","Teknik Kimia","S1","","2574/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Muhammadiyah Magelang","PGMI","S1","06","2535/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Sebelas Maret","Pendidikan Kimia","S1","","2527/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Lampung","Ilmu Tanah","S1","","2546/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Politeknik Negeri Banyuwangi","Teknik Informatika","D-III","","2562/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","B","2024-07-23","Masih berlaku"
"STIE Nobel Indonesia Makassar","Manajemen","S1","09","2538/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Ibn Khaldun","Manajemen","S2","04","2541/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Muslim Indonesia","Pendidikan Bahasa Inggris","S1","09","2609/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Negeri Malang","Biologi","S2","","2547/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-23","Masih berlaku"
"IAIN Bengkulu","Manajemen Dakwah","S1","","2544/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Islam Jakarta","Teknik Industri","S1","03","2576/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Pancasetia","Akuntansi","S1","11","2550/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Politeknik Sawunggalih Aji","Teknik Informatika","D-III","06","2575/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","C","2024-07-23","Masih berlaku"
"STMIK Palangka Raya","Sistem Informasi","S1","11","2545/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"STMIK Likmi","Teknik Informatika","S1","04","2558/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Lampung","Ilmu Kelautan","S1","","2549/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"STMIK Parnaraya","Sistem Informasi","S1","16","2587/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Papua","Peternakan","S1","","2548/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Negeri Medan","Pendidikan Tata Busana","S1","","2612/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Padjadjaran","Ilmu Peternakan","S2","","2529/SK/BAN-PT/Akred/M/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Islam Makassar","Agribisnis","S2","09","2611/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi AMA","Akuntansi","S1","06","2543/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Negeri Yogyakarta","Pendidikan Kimia","S2","","2530/SK/BAN-PT/Akred/M/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Teuku Umar","Agribisnis","S1","","2542/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Institut Kesenian Jakarta - LPKJ","Seni Tari","S1","03","2621/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
