"0","1","2","3","4","5","6","7","8"
"Institut Teknologi Sepuluh Nopember","Fisika","S1","","4379/SK/BAN-PT/Akred/S/XI/2017","2017","A","2022-11-14","72 hari lagi kadaluarsa"
"Institut Teknologi Sepuluh Nopember","Ilmu Kimia","S3","","4392/SK/BAN-PT/Akred/D/XI/2017","2017","A","2022-11-14","72 hari lagi kadaluarsa"
"Institut Teknologi Sepuluh Nopember","Teknik Industri","S3","","4649/SK/BAN-PT/Akred/D/XII/2017","2017","A","2022-12-05","93 hari lagi kadaluarsa"
"Institut Teknologi Sepuluh Nopember","Ilmu Statistik","S3","","4668/SK/BAN-PT/Akred/D/XII/2017","2017","A","2022-12-05","93 hari lagi kadaluarsa"
"Institut Teknologi Sepuluh Nopember","Teknik Fisika","S2","","631/SK/BAN-PT/Akred/M/II/2018","2018","A","2023-02-27","177 hari lagi kadaluarsa"
"Institut Teknologi Sepuluh Nopember","Teknik Geomatika","S2","","692/SK/BAN-PT/Akred/M/III/2018","2018","A","2023-03-06","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Elektro Komputer Kontrol","D-III","","777/SK/BAN-PT/Akred/Dipl-III/III/2018","2018","B","2023-03-20","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Biologi","S1","","792/SK/BAN-PT/Akred/S/III/2018","2018","A","2023-03-20","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Material Dan Metalurgi","S2","","1002/SK/BAN-PT/Akred/M/IV/2018","2018","B","2023-04-10","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Ilmu Komputer","S3","","1230/SK/BAN-PT/Akred/D/V/2018","2018","B","2023-05-02","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Kimia","S1","","1393/SK/BAN-PT/Akred/S/V/2018","2018","A","2023-05-30","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Arsitektur","S2","","1859/SK/BAN-PT/Akred/M/VII/2018","2018","A","2023-07-17","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Metrologi Dan Instrumentasi","D-III","","2136/SK/BAN-PT/Akred/Dipl-III/VIII/2018","2018","B","2023-08-07","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Manajemen Bisnis","S1","","2246/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-09","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Kelautan","S2","","2884/SK/BAN-PT/Akred/M/X/2018","2018","B","2023-10-23","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Fisika","S2","","3143/SK/BAN-PT/Akred/M/XI/2018","2018","A","2023-11-27","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Magister Manajemen","S2","","249/SK/BAN-PT/Akred/M/III/2019","2019","A","2024-03-05","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Ilmu Fisika","S3","","706/SK/BAN-PT/Akred/D/IV/2019","2019","A","2024-04-09","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Ilmu Arsitektur","S3","","2028/SK/BAN-PT/Akred/D/VI/2019","2019","A","2024-06-25","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Lingkungan","S3","","2948/SK/BAN-PT/Akred/D/VIII/2019","2019","A","2024-08-07","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Mesin","S3","","2975/SK/BAN-PT/Akred/D/VIII/2019","2019","A","2024-08-13","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Elektro","S2","","2977/SK/BAN-PT/Akred/M/VIII/2019","2019","A","2024-08-13","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Fisika","S3","","3081/SK/BAN-PT/Akred/D/VIII/2019","2019","C","2024-08-14","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Ilmu Teknik Kelautan","S3","","3288/SK/BAN-PT/Akred/D/IX/2019","2019","A","2024-09-03","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Matematika","S2","","4332/SK/BAN-PT/Akred/M/XI/2019","2019","A","2024-11-05","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Sipil","D-IV","","4489/SK/BAN-PT/Akred/ST/XI/2019","2019","B","2024-11-06","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Lingkungan","S2","","2069/SK/BAN-PT/Ak-PPJ/M/IV/2020","2020","A","2025-04-01","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Komputer","S1","","2073/SK/BAN-PT/Ak-PPJ/S/IV/2020","2020","A","2025-04-01","Masih berlaku"
