"no_dokumen","judul_kerma","jenis_dokumen_kerjasama","dasar_dokumen_kerjasama","deskripsi","status_kerma","tanggal_awal","tanggal_akhir","anggaran","sumber_pendanaan","dibuat","diubah"
"455/UNIDA/R-w/I/1444","MoU Universitas Darussalam Gontor dengan Institut Teknologi Sepuluh Nopember (ITS)","Memorandum of Understanding (MoU)","Memorandum of Understanding (MoU)","MoU Universitas Darussalam Gontor dengan Institut Teknologi Sepuluh Nopember (ITS)","Aktif","23-08-2022","23-08-2027","","","24 August 2022 07:23","24 August 2022 07:23"
"074/2252/201.5/2022","Indentifikasi Rencana Pengembangan Wilayah dan Jaringan Jalan Paska Terbangunnya Jalan To Kediri - Tulungagung","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Indentifikasi Rencana Pengembangan Wilayah dan Jaringan Jalan Paska Terbangunnya Jalan To Kediri - Tulungagung","Aktif","03-02-2022","04-07-2022","496","Dinas Propinsi","22 August 2022 02:00","22 August 2022 02:00"
"074/2255/201.5/2022","Analisa Penentuan Prioritas Pengembangan Infrastruktur Wilayah di Propinsi Jawa Timur","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Analisa Penentuan Prioritas Pengembangan Infrastruktur Wilayah di Propinsi Jawa Timur","Aktif","03-02-2022","03-06-2022","400","Dinas Propinsi","19 August 2022 07:57","22 August 2022 01:54"
"30.007.PJ/PLNE/VI/2022 dan 0141.1.00/IT2.IV.3/KS.00.03/2022","Jasa Konsultan Advisory dan Design Review Mooring System  Proyek BMPP Nusantara 1 di Waai, Ambon","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Konsultan Advisory dan Design Review Mooring System  Proyek BMPP Nusantara 1 di Waai, Ambon","Aktif","30-06-2022","15-08-2022","682785975","Lainnya","19 August 2022 09:34","19 August 2022 09:34"
"602/3434/436.8.1/2022","Review Rencana Induk Sistem Penyediaan Air Minum Kota Surabaya","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Review Rencana Induk Sistem Penyediaan Air Minum Kota Surabaya","Aktif","10-05-2022","07-10-2022","149","Dinas Kabupaten","19 August 2022 08:47","19 August 2022 08:47"
"660/67/411.316/2022 dan 0112.1.00 /IT2.IV.3/KS.00.00/2022","Penyusunan Review Masterplan Pengelolaan Persampahan Kabupaten Nganjuk","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Review Masterplan Pengelolaan Persampahan Kabupaten Nganjuk","Aktif","02-06-2022","31-08-2022","150","Dinas Kabupaten","19 August 2022 08:43","19 August 2022 08:43"
"074/2.254/201.5/2022","Strategi Pembiayaan Penyediaan Infrastruktur Dasar Perumahan Permukiman","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Strategi Pembiayaan Penyediaan Infrastruktur Dasar Perumahan Permukiman","Aktif","03-02-2022","03-06-2022","396968000","Dinas Propinsi","19 August 2022 08:39","19 August 2022 08:39"
"0285.Pj/EPI.01.02/C01050300/2022 dan 0070.1.00/IT2.IV.3/KS.00.03/2022","Jasa Konsultansi Kajian Logistik dan Keekonomian Gasifikasi Pembangkit PLN","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Konsultansi Kajian Logistik dan Keekonomian Gasifikasi Pembangkit PLN","Aktif","13-05-2022","10-08-2022","560","Lainnya","19 August 2022 08:14","19 August 2022 08:14"
"BP4D.050.6/PPK-Rev.RISPAM.02/III/2022 dan 0030.1.00/IT2.IV.3/KS.00.00/2022","Penyusunan Dokumen Review Rencana Induk Sistem Penyediaan Air Minum (RISPAM) Kab. Manggarai Barat","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Review Rencana Induk Sistem Penyediaan Air Minum (RISPAM) Kab. Manggarai Barat","Aktif","22-03-2022","20-06-2022","150","Dinas Kabupaten","19 August 2022 08:09","19 August 2022 08:09"
"027/181/417.506.4/2022","Pendampingan Jasa Konsultansi Penyusunan Indeks Gini","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pendampingan Jasa Konsultansi Penyusunan Indeks Gini","Aktif","09-03-2022","10-06-2022","68","Dinas Kabupaten","19 August 2022 07:52","19 August 2022 07:52"
